,scm,method,model,seed,seed2,q,estimate
7544,fairness_xy,rs_gan_ncm_truth,-,0,65535,nde,-0.07279999735780934
7545,fairness_xy,rs_gan_ncm_truth,-,0,65535,nde,-0.07199979451428984
7546,fairness_xy,rs_gan_ncm_truth,-,0,65535,nde,-0.07049999651298594
7547,fairness_xy,rs_gan_ncm_truth,-,0,65535,nde,-0.06569986307879538
7548,fairness_xy,rs_gan_ncm_truth,-,0,65535,nde,-0.07150015277062644
7549,fairness_xy,rs_gan_ncm_truth,-,0,65535,nde,-0.0912000334834353
7550,fairness_xy,rs_gan_ncm_truth,-,0,0,ctfde,-0.014456744241608976
7551,fairness_xy,rs_gan_ncm_truth,-,0,0,ctfde,-0.007948987384301998
7552,fairness_xy,rs_gan_ncm_truth,-,0,0,ctfde,-0.009178772151011316
7553,fairness_xy,rs_gan_ncm_truth,-,0,0,ctfde,0.0031520533193416522
7554,fairness_xy,rs_gan_ncm_truth,-,0,0,ctfde,-0.008265655554728024
7555,fairness_xy,rs_gan_ncm_truth,-,0,0,ctfde,-0.0031170634346993076
7556,fairness_xy,rs_gan_ncm_truth,-,0,0,ctfde,-0.029587617652762466
7557,fairness_xy,rs_gan_ncm_truth,-,0,0,ctfde,-0.02526905476903868
7558,fairness_xy,rs_gan_ncm_truth,-,0,0,ctfde,-0.009116152908066055
7559,fairness_xy,rs_gan_ncm_truth,-,0,0,ctfde,-0.030862191584186016
7560,fairness_xy,rs_gan_ncm_truth,-,0,7,ctfde,-0.07638885971766116
7561,fairness_xy,rs_gan_ncm_truth,-,0,7,ctfde,-0.07962994244996685
7562,fairness_xy,rs_gan_ncm_truth,-,0,7,ctfde,-0.08457333567619904
7563,fairness_xy,rs_gan_ncm_truth,-,0,7,ctfde,-0.0785553324632342
7564,fairness_xy,rs_gan_ncm_truth,-,0,7,ctfde,-0.07791607602408349
7565,fairness_xy,rs_gan_ncm_truth,-,0,7,ctfde,-0.08941097026931014
7566,fairness_xy,rs_gan_ncm_truth,-,0,7,ctfde,-0.06482330671876663
7567,fairness_xy,rs_gan_ncm_truth,-,0,7,ctfde,-0.07757197985557854
7568,fairness_xy,rs_gan_ncm_truth,-,0,7,ctfde,-0.08235473509668764
7569,fairness_xy,rs_gan_ncm_truth,-,0,7,ctfde,-0.08677247560473947
7570,fairness_xy,rs_gan_ncm_truth,-,0,42,ctfde,-0.03559302379037252
7571,fairness_xy,rs_gan_ncm_truth,-,0,42,ctfde,-0.020518379467868608
7572,fairness_xy,rs_gan_ncm_truth,-,0,42,ctfde,-0.032094379550920704
7573,fairness_xy,rs_gan_ncm_truth,-,0,42,ctfde,-0.034148297511328723
7574,fairness_xy,rs_gan_ncm_truth,-,0,42,ctfde,-0.021456841162796808
7575,fairness_xy,rs_gan_ncm_truth,-,0,42,ctfde,-0.04363197323924195
7576,fairness_xy,rs_gan_ncm_truth,-,0,42,ctfde,-0.028458578707860505
7577,fairness_xy,rs_gan_ncm_truth,-,0,42,ctfde,-0.041060144019209016
7578,fairness_xy,rs_gan_ncm_truth,-,0,42,ctfde,-0.03769491006036274
7579,fairness_xy,rs_gan_ncm_truth,-,0,42,ctfde,-0.035753208004926484
7580,fairness_xy,rs_gan_ncm_truth,-,0,3407,ctfde,-0.1908028554771189
7581,fairness_xy,rs_gan_ncm_truth,-,0,3407,ctfde,-0.17929221979253906
7582,fairness_xy,rs_gan_ncm_truth,-,0,3407,ctfde,-0.19764170306366602
7583,fairness_xy,rs_gan_ncm_truth,-,0,3407,ctfde,-0.189222686187771
7584,fairness_xy,rs_gan_ncm_truth,-,0,3407,ctfde,-0.20428963271412603
7585,fairness_xy,rs_gan_ncm_truth,-,0,3407,ctfde,-0.1850440844171668
